"asset_tag","model_category","model","model.display_name","assigned_to","install_status","ci"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX2 Series 9336C-FX2","Cisco Systems, Inc. Nexus 9300-FX2 Series 9336C-FX2","","In use","hlbt-sw-lab-fab2-bleaf-01"
"","IP Router","Unknown","Unknown","","In use","pflptcc-oob-mdf-01"
"","IP Router","Cisco Systems, Inc. Catalyst 8500 Series C8500-12X","Cisco Systems, Inc. Catalyst 8500 Series C8500-12X","","In use","rricmdc-edg-rtr-f23-01"
"A0001771825","IP Router","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431/K9","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431/K9","","In use","ptnmesp-sdwan-mdf-01"
"","IP Router","Cisco Systems, Inc. ASR 1000 Series ASR 1006-X","Cisco Systems, Inc. ASR 1000 Series ASR 1006-X","","In use","pazshdc-wan-inttm33-01"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX2 Series N9K-C9336C-FX2","Cisco Systems, Inc. Nexus 9300-FX2 Series N9K-C9336C-FX2","","In use","az1-v41-r2-ru29-bl2"
"4259606","IP Router","Cisco Systems, Inc. ASR 1000 Series ASR1002-HX","Cisco Systems, Inc. ASR 1000 Series ASR1002-HX","","In use","rriwsdc-wanmpls-bx09-01"
"","IP Router","Unknown","Unknown","","In use","rriwsdc-oob-t25-01"
"A0001488839","IP Router","Cisco Systems, Inc. ASR 1000 Series ASR1002X-5G-HA-K9","Cisco Systems, Inc. ASR 1000 Series ASR1002X-5G-HA-K9","","In use","priwsdc-wan-mpls-aet-04"
"A0001788832","IP Router","Cisco Systems, Inc. Nexus 9300-FX2 Series 9336C-FX2","Cisco Systems, Inc. Nexus 9300-FX2 Series 9336C-FX2","","In use","exv-ds-dc4b-cg40115in-02"
"4716644","IP Router","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","","In use","rnjludi-sdwan-mdf-02"
"","IP Router","Avaya S8500 Media","Avaya S8500 Media","","In use","uatcms8510"
"A0000966195","IP Router","Cisco Systems, Inc. 4000 Integrated Services Router ISR4351/k9","Cisco Systems, Inc. 4000 Integrated Services Router ISR4351/k9","","In use","rtxsaom-vgr-mdf-01"
"","IP Router","Cisco Systems, Inc. Nexus 9300-GX2 Series N9K-C9332D-GX2B","Cisco Systems, Inc. Nexus 9300-GX2 Series N9K-C9332D-GX2B","","In use","lgs1502-06b-0110-mbgw04"
"","IP Router","AudioCodes MediaPack Series MP-114","AudioCodes MediaPack Series MP-114","","In use","acl_9124019"
"","IP Router","AudioCodes MediaPack Series MP-114","AudioCodes MediaPack Series MP-114","","In use","acl_13009466"
"4715549","IP Router","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","","In use","rhikadi-sdwan-mdf-01"
"A0001488840","IP Router","Cisco Systems, Inc. ASR 1000 Series ASR1002X-5G-HA-K9","Cisco Systems, Inc. ASR 1000 Series ASR1002X-5G-HA-K9","","In use","pazshdc-wan-mplaet-05"
"","IP Router","Unknown","Unknown","","In use","win-dns-cvs-1"
"4716388","IP Router","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","","In use","rkygldi-sdwan-mdf-02"
"","IP Router","Unknown","Unknown","","In use","rricmdc-oob-t11-01"
