SITE_CODE,CANONICAL_NAME,LOCATION_TYPE,CITY,STATE,COUNTRY,ADDRESS,BASE_IP,HERITAGE,STATUS,NET_TYPE,DATASET_VERSION,HOSTNAME_PREFIX,LATITUDE,LONGITUDE,REGION,FACILITY_OWNER,CSNA_SITE_NAME,NMS_PATH_FRAGMENT,NOTE
US_NY_00106_RT,Bronxville NY - Store 00106,Retail,Bronxville,NY,US,"114 PONDFIELD ROAD, Bronxville, NY 10708",172.16.6.0,CVS,Active,Retail-Store,v5.20,,,,Northeast,Leased,,,
US_CT_00696_RT,Brookfield CT - Store 00696,Retail,Brookfield,CT,US,"14 Candlewood lake Road, Brookfield, CT 06804",172.17.24.192,CVS,Active,Retail-Store,v5.20,,,,Northeast,Leased,,,
US_IL_08744_RT,Brookfield IL - Store 08744,Retail,Brookfield,IL,US,"9139 BROADWAY, Brookfield, IL 60513",172.19.111.0,CVS,Active,Retail-Store,v5.20,,,,Midwest,Leased,,,
US_WI_06855_RT,Brookfield WI - Store 06855,Retail,Brookfield,WI,US,"17165 Bluemound Road, Brookfield, WI 53226",172.18.241.192,CVS,Active,Retail-Store,v5.20,,,,Midwest,Leased,,,
US_WI_17633_RT,Brookfield WI - Store 17633,Retail,Brookfield,WI,US,"12725 W Bluemound Rd, Brookfield, WI 53005",172.24.183.192,CVS,Active,Retail-Store,v5.20,,,,Midwest,Leased,,,
US_GA_02083_RT,Brookhaven GA - Store 02083,Retail,Brookhaven,GA,US,"3439 ASHFORD DUNWOODY ROAD NE, Brookhaven, GA 30319",172.29.19.192,CVS,Active,Retail-Store,v5.20,,,,Southeast,Leased,,,
US_GA_05376_RT,Brookhaven GA - Store 05376,Retail,Brookhaven,GA,US,"2910 BUFORD HWY NE, Brookhaven, GA 30329",172.31.212.192,CVS,Active,Retail-Store,v5.20,,,,Southeast,Leased,,,
US_PA_00903_RT,Brookhaven PA - Store 00903,Retail,Brookhaven,PA,US,"3300 Edgemont Ave, Brookhaven, PA 19015",172.17.42.64,CVS,Active,Retail-Store,v5.20,,,,Northeast,Leased,,,
US_MA_01071_RT,Brookline MA - Store 01071,Retail,Brookline,MA,US,"400 washington street, Brookline, MA 02446",172.16.7.0,CVS,Active,Retail-Store,v5.20,,,,Northeast,Leased,,,
US_MA_01212_RT,Brookline MA - Store 01212,Retail,Brookline,MA,US,"294 Harvard Street, Brookline, MA 02446",172.16.18.0,CVS,Active,Retail-Store,v5.20,,,,Northeast,Leased,,,
